rank,title,release_year,duration,rate_type,star_rating,vote_count,transformed_title,platform,price
1, The Shawshank Redemption,1994,2h 22m,15,9.3, (3.1M),the shawshank redemption,Sky Go,
1, The Shawshank Redemption,1994,2h 22m,15,9.3, (3.1M),the shawshank redemption,Now TV,
1, The Shawshank Redemption,1994,2h 22m,15,9.3, (3.1M),the shawshank redemption,Amazon,3.49
1, The Shawshank Redemption,1994,2h 22m,15,9.3, (3.1M),the shawshank redemption,Rakuten TV,3.49
1, The Shawshank Redemption,1994,2h 22m,15,9.3, (3.1M),the shawshank redemption,AppleTV,3.49
1, The Shawshank Redemption,1994,2h 22m,15,9.3, (3.1M),the shawshank redemption,YouTube,3.49
1, The Shawshank Redemption,1994,2h 22m,15,9.3, (3.1M),the shawshank redemption,Windows Store,3.49
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,Paramount Plus,
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,Sky Go,
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,Prime Video,
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,Amazon,3.49
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,YouTube,3.49
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,AppleTV,3.49
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,Sky Store,3.49
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather,Windows Store,2.49
3, The Dark Knight,2008,2h 32m,12A,9.0, (3M),the dark knight,Prime Video,
3, The Dark Knight,2008,2h 32m,12A,9.0, (3M),the dark knight,AppleTV,3.49
3, The Dark Knight,2008,2h 32m,12A,9.0, (3M),the dark knight,Rakuten TV,3.49
3, The Dark Knight,2008,2h 32m,12A,9.0, (3M),the dark knight,Sky Store,3.49
3, The Dark Knight,2008,2h 32m,12A,9.0, (3M),the dark knight,Windows Store,3.49
3, The Dark Knight,2008,2h 32m,12A,9.0, (3M),the dark knight,Amazon,3.49
3, The Dark Knight,2008,2h 32m,12A,9.0, (3M),the dark knight,YouTube,3.49
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,Paramount Plus,
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,Sky Go,
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,Prime Video,
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,Amazon,3.49
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,YouTube,3.49
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,AppleTV,3.49
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,Sky Store,3.49
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii,Windows Store,2.49
5, 12 Angry Men,1957,1h 36m,U,9.0, (935K),12 angry men,Now TV,
5, 12 Angry Men,1957,1h 36m,U,9.0, (935K),12 angry men,Amazon,3.49
5, 12 Angry Men,1957,1h 36m,U,9.0, (935K),12 angry men,Rakuten TV,3.49
5, 12 Angry Men,1957,1h 36m,U,9.0, (935K),12 angry men,AppleTV,3.49
5, 12 Angry Men,1957,1h 36m,U,9.0, (935K),12 angry men,Sky Store,3.49
5, 12 Angry Men,1957,1h 36m,U,9.0, (935K),12 angry men,YouTube,3.49
5, 12 Angry Men,1957,1h 36m,U,9.0, (935K),12 angry men,Chili,3.49
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,Sky Go,
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,Now TV,
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,Amazon,3.49
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,AppleTV,3.49
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,Rakuten TV,3.49
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,Sky Store,3.49
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,YouTube,3.49
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king,Windows Store,3.49
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Sky Go,
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Prime Video,
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Netflix,
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Now TV,
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Amazon,2.99
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Rakuten TV,3.49
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,YouTube,3.49
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,AppleTV,3.49
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Sky Store,3.49
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list,Windows Store,2.49
8, Pulp Fiction,1994,2h 34m,18,8.8, (2.3M),pulp fiction,Paramount Plus,
8, Pulp Fiction,1994,2h 34m,18,8.8, (2.3M),pulp fiction,Amazon,3.49
8, Pulp Fiction,1994,2h 34m,18,8.8, (2.3M),pulp fiction,YouTube,3.49
8, Pulp Fiction,1994,2h 34m,18,8.8, (2.3M),pulp fiction,Rakuten TV,3.49
8, Pulp Fiction,1994,2h 34m,18,8.8, (2.3M),pulp fiction,AppleTV,3.49
8, Pulp Fiction,1994,2h 34m,18,8.8, (2.3M),pulp fiction,Sky Store,3.49
9, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,8.9, (2.1M),the lord of the rings: the fellowship of the ring,Sky Go,
9, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,8.9, (2.1M),the lord of the rings: the fellowship of the ring,Now TV,
9, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,8.9, (2.1M),the lord of the rings: the fellowship of the ring,Amazon,3.49
9, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,8.9, (2.1M),the lord of the rings: the fellowship of the ring,AppleTV,3.49
9, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,8.9, (2.1M),the lord of the rings: the fellowship of the ring,Sky Store,3.49
9, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,8.9, (2.1M),the lord of the rings: the fellowship of the ring,Rakuten TV,3.49
9, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,8.9, (2.1M),the lord of the rings: the fellowship of the ring,Windows Store,3.49
10," The Good, the Bad and the Ugly",1966,2h 28m,18,8.8, (860K),"the good, the bad and the ugly",Prime Video,
10," The Good, the Bad and the Ugly",1966,2h 28m,18,8.8, (860K),"the good, the bad and the ugly",AppleTV,3.49
10," The Good, the Bad and the Ugly",1966,2h 28m,18,8.8, (860K),"the good, the bad and the ugly",Amazon,3.49
10," The Good, the Bad and the Ugly",1966,2h 28m,18,8.8, (860K),"the good, the bad and the ugly",Sky Store,3.49
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,Sky Go,
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,Paramount Plus,
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,Now TV,
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,Amazon,3.49
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,YouTube,3.49
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,Rakuten TV,3.49
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump,AppleTV,3.49
