rank,title,release_year,duration,rate_type,star_rating,vote_count,transformed_title
1, The Shawshank Redemption,1994,2h 22m,15,9.3, (3.1M),the shawshank redemption
2, The Godfather,1972,2h 55m,15,9.2, (2.1M),the godfather
3, The Dark Knight,2008,2h 32m,12A,9.0, (3M),the dark knight
4, The Godfather Part II,1974,3h 22m,X,9.0, (1.4M),the godfather part ii
5, 12 Angry Men,1957,1h 36m,U,9.0, (935K),12 angry men
6, The Lord of the Rings: The Return of the King,2003,3h 21m,12A,9.0, (2.1M),the lord of the rings: the return of the king
7, Schindler's List,1993,3h 15m,15,9.0, (1.5M),schindler's list
8, Pulp Fiction,1994,2h 34m,18,8.8, (2.3M),pulp fiction
9, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG,8.9, (2.1M),the lord of the rings: the fellowship of the ring
10," The Good, the Bad and the Ugly",1966,2h 28m,18,8.8, (860K),"the good, the bad and the ugly"
11, Forrest Gump,1994,2h 22m,12,8.8, (2.4M),forrest gump
12, The Lord of the Rings: The Two Towers,2002,2h 59m,12A,8.8, (1.9M),the lord of the rings: the two towers
13, Fight Club,1999,2h 19m,15,8.8, (2.5M),fight club
14, Inception,2010,2h 28m,12A,8.8, (2.7M),inception
15, Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,U,8.7, (1.5M),star wars: episode v - the empire strikes back
16, The Matrix,1999,2h 16m,15,8.7, (2.2M),the matrix
17, GoodFellas,1990,2h 25m,18,8.7, (1.3M),goodfellas
18, Interstellar,2014,2h 49m,12A,8.7, (2.4M),interstellar
19, One Flew Over the Cuckoo's Nest,1975,2h 13m,X,8.7, (1.1M),one flew over the cuckoo's nest
20, Seven,1995,2h 7m,18,8.6, (1.9M),seven
21, It's a Wonderful Life,1946,2h 10m,U,8.6, (530K),it's a wonderful life
22, The Silence of the Lambs,1991,1h 58m,18,8.6, (1.6M),the silence of the lambs
23, Seven Samurai,1954,3h 27m,A,8.6, (387K),seven samurai
24, Saving Private Ryan,1998,2h 49m,15,8.6, (1.6M),saving private ryan
25, City of God,2002,2h 10m,18,8.6, (842K),city of god
26, The Green Mile,1999,3h 9m,18,8.6, (1.5M),the green mile
27, Life Is Beautiful,1997,1h 56m,PG,8.6, (783K),life is beautiful
28, Terminator 2: Judgment Day,1991,2h 17m,15,8.6, (1.2M),terminator 2: judgment day
29, Star Wars: Episode IV - A New Hope,1977,2h 1m,U,8.6, (1.5M),star wars: episode iv - a new hope
30, Back to the Future,1985,1h 56m,PG,8.5, (1.4M),back to the future
31, Spirited Away,2001,2h 4m,PG,8.6, (918K),spirited away
32, The Pianist,2002,2h 30m,15,8.5, (973K),the pianist
33, Gladiator,2000,2h 35m,15,8.5, (1.8M),gladiator
34, Parasite,2019,2h 12m,15,8.5, (1.1M),parasite
35, Psycho,1960,1h 49m,15,8.5, (757K),psycho
36, The Lion King,1994,1h 28m,U,8.5, (1.2M),the lion king
37, Grave of the Fireflies,1988,1h 28m,12A,8.5, (354K),grave of the fireflies
38, The Departed,2006,2h 31m,18,8.5, (1.5M),the departed
39, Whiplash,2014,1h 46m,15,8.5, (1.1M),whiplash
40, Harakiri,1962,2h 13m,X,8.6, (81K),harakiri
41, The Prestige,2006,2h 10m,12A,8.5, (1.5M),the prestige
42, American History X,1998,1h 59m,18,8.5, (1.2M),american history x
43, Leon,1994,1h 50m,18,8.5, (1.3M),leon
44, Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.5, (464K),spider-man: across the spider-verse
45, Casablanca,1942,1h 42m,U,8.5, (635K),casablanca
46, The Usual Suspects,1995,1h 46m,18,8.5, (1.2M),the usual suspects
47, Cinema Paradiso,1988,2h 54m,PG,8.5, (303K),cinema paradiso
48, Untouchable,2011,1h 52m,15,8.5, (985K),untouchable
49, Alien,1979,1h 57m,X,8.5, (1M),alien
50, Modern Times,1936,1h 27m,U,8.5, (275K),modern times
51, Rear Window,1954,1h 52m,A,8.5, (550K),rear window
52, Once Upon a Time in the West,1968,2h 46m,12,8.5, (371K),once upon a time in the west
53, Django Unchained,2012,2h 45m,18,8.5, (1.8M),django unchained
54, City Lights,1931,1h 27m,U,8.5, (208K),city lights
55, Apocalypse Now,1979,2h 27m,X,8.4, (746K),apocalypse now
56, WALL·E,2008,1h 38m,U,8.4, (1.3M),wall·e
57, Dune: Part Two,2024,2h 46m,12A,8.5, (645K),dune: part two
58, Memento,2000,1h 53m,15,8.4, (1.4M),memento
59, Raiders of the Lost Ark,1981,1h 55m,A,8.4, (1.1M),raiders of the lost ark
60, The Lives of Others,2006,2h 17m,15,8.4, (430K),the lives of others
61, Avengers: Infinity War,2018,2h 29m,12A,8.4, (1.3M),avengers: infinity war
62, Sunset Blvd.,1950,1h 50m,PG,8.4, (250K),sunset blvd.
63, Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,8.4, (738K),spider-man: into the spider-verse
64, Witness for the Prosecution,1957,1h 56m,U,8.4, (151K),witness for the prosecution
65, Paths of Glory,1957,1h 28m,PG,8.4, (227K),paths of glory
66, The Shining,1980,2h 26m,X,8.4, (1.2M),the shining
67, The Great Dictator,1940,2h 5m,U,8.4, (250K),the great dictator
68, 12th Fail,2023,2h 27m,12A,8.7, (151K),12th fail
69, Inglourious Basterds,2009,2h 33m,18,8.4, (1.7M),inglourious basterds
70, Aliens,1986,2h 17m,18,8.4, (813K),aliens
71, The Dark Knight Rises,2012,2h 44m,12A,8.4, (1.9M),the dark knight rises
72, Coco,2017,1h 45m,PG,8.4, (657K),coco
73, Amadeus,1984,2h 40m,PG,8.4, (451K),amadeus
74, Toy Story,1995,1h 21m,PG,8.3, (1.1M),toy story
75, Avengers: Endgame,2019,3h 1m,12A,8.4, (1.4M),avengers: endgame
76, Good Will Hunting,1997,2h 6m,15,8.3, (1.1M),good will hunting
