title,platform,type,url,price
the shawshank redemption,Sky Go,subscription,https://www.sky.com/watch/sky-go/all?uuid=b5bebc37-9499-4afb-8c9e-3bb4db6517c0&videoId=A5EK6sKrAaydCWaknPWXJ,
the shawshank redemption,Now TV,subscription,https://www.nowtv.com/gb/watch/the-shawshank-redemption-1994/A5EK5PhL1W7JopQz3xgYu,
the shawshank redemption,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.5ca9f65a-3d43-8188-b462-96280f15a161,3.49
the shawshank redemption,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/the-shawshank-redemption,3.49
the shawshank redemption,AppleTV,rent,https://tv.apple.com/gb/movie/the-shawshank-redemption/umc.cmc.459n4f98t82t8ommdoa7ebnny?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A282875479,3.49
the shawshank redemption,YouTube,rent,https://www.youtube.com/results?search_query=The+Shawshank+Redemption%2Bmovie,3.49
the shawshank redemption,Windows Store,rent,https://www.microsoft.com/en-gb/p/The%20Shawshank%20Redemption/8D6KGWZL5LM1,3.49
the godfather,Paramount Plus,subscription,https://www.paramountplus.com/movies/godfather/gUufhVPlJy5i5HLTbS8li1LruEeMH_3x?searchReferral=,
the godfather,Sky Go,subscription,https://www.sky.com/watch/sky-go/all?uuid=31d3ae92-0a9a-4b6f-8bce-ff85c1a17170&videoId=A5EK6sKrAaydU7UjrzQtJ,
the godfather,Prime Video,subscription,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.64a9f786-efb1-28d3-bf27-6038d12cc53a,
the godfather,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.48a9f677-8496-1528-abcd-62852807f6ef,3.49
the godfather,YouTube,rent,https://www.youtube.com/results?search_query=The+Godfather%2Bmovie,3.49
the godfather,AppleTV,rent,https://tv.apple.com/gb/movie/the-godfather/umc.cmc.3ew9fykdnpfaq9t2jq5da011c?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A285494571,3.49
the godfather,Sky Store,rent,https://www.skystore.com/product/the-godfather/758f5b11-8473-4ee4-a071-31599f5a2c29,3.49
the godfather,Windows Store,rent,https://www.microsoft.com/en-gb/p/The%20Godfather/8D6KGWZL5SVS,2.49
the dark knight,Prime Video,subscription,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.1ea9f6f7-7781-df4e-60bf-d24b8365b375,
the dark knight,AppleTV,rent,https://tv.apple.com/gb/movie/the-dark-knight-rises/umc.cmc.4chkhft26y3bhfxrtfjemtp2c?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A567661493,3.49
the dark knight,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/the-dark-knight-rises,3.49
